measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,5.92283877
total_promotions,10
total_regular_trucks,7
expected_demand,61.5155335
expected_fulfilled_sales,54.348291009
expected_lost_sales,7.167242491
expected_fill_rate,0.8834889
expected_shipped_quantity,47.085970009
expected_used_capacity,917.826680145
expected_available_capacity,1050
capacity_utilization,0.874120648
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.340004341
expected_full_consumer_discount_value,13.400043412
max_scenario_period_retailer_funded_markdown,0.597325888
mip_relative_gap,0
branch_and_cut_nodes,0
