measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.937053019
total_promotions,10
total_regular_trucks,10
expected_demand,65.3968505
expected_fulfilled_sales,63.792474874
expected_lost_sales,1.604375626
expected_fill_rate,0.975467081
expected_shipped_quantity,56.530153874
expected_used_capacity,1097.832599777
expected_available_capacity,1500
capacity_utilization,0.7318884
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.368889316
expected_full_consumer_discount_value,13.688893165
max_scenario_period_retailer_funded_markdown,0.545417989
mip_relative_gap,0.00005961
branch_and_cut_nodes,315
